fold_id,outer_test_start,model,candidate_id,parameters,inner_mae,inner_validation_origins,inner_validation_start,inner_validation_end,minimum_inner_training_rows,maximum_inner_purged_rows,selected,feature_set,feature_count
1,2020-03-01,elastic_net_macro_core_8,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.18841490749978926,12,2018-10-01,2019-09-01,38,5,0,macro_core_8,8
1,2020-03-01,elastic_net_macro_core_8,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.19403455128936142,12,2018-10-01,2019-09-01,38,5,0,macro_core_8,8
1,2020-03-01,elastic_net_macro_core_8,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.18710914738989373,12,2018-10-01,2019-09-01,38,5,0,macro_core_8,8
1,2020-03-01,elastic_net_macro_core_8,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.18710914738989373,12,2018-10-01,2019-09-01,38,5,0,macro_core_8,8
1,2020-03-01,elastic_net_ar_core_5,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.27308889964661576,12,2018-10-01,2019-09-01,38,5,0,ar_core_5,5
1,2020-03-01,elastic_net_ar_core_5,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.2726301017639204,12,2018-10-01,2019-09-01,38,5,0,ar_core_5,5
1,2020-03-01,elastic_net_ar_core_5,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.27217021734060365,12,2018-10-01,2019-09-01,38,5,0,ar_core_5,5
1,2020-03-01,elastic_net_ar_core_5,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.27112770245319623,12,2018-10-01,2019-09-01,38,5,0,ar_core_5,5
1,2020-03-01,elastic_net_ar_core_5,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.2674785594598594,12,2018-10-01,2019-09-01,38,5,0,ar_core_5,5
1,2020-03-01,elastic_net_ar_core_5,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.26445609116819696,12,2018-10-01,2019-09-01,38,5,0,ar_core_5,5
1,2020-03-01,elastic_net_ar_core_5,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.256733069245265,12,2018-10-01,2019-09-01,38,5,0,ar_core_5,5
1,2020-03-01,elastic_net_ar_core_5,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.21644304459521815,12,2018-10-01,2019-09-01,38,5,0,ar_core_5,5
1,2020-03-01,elastic_net_ar_core_5,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.18841490749978926,12,2018-10-01,2019-09-01,38,5,0,ar_core_5,5
1,2020-03-01,elastic_net_ar_core_5,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.2080997291321759,12,2018-10-01,2019-09-01,38,5,0,ar_core_5,5
1,2020-03-01,elastic_net_ar_core_5,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.18710914738989373,12,2018-10-01,2019-09-01,38,5,1,ar_core_5,5
1,2020-03-01,elastic_net_ar_core_5,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.18710914738989373,12,2018-10-01,2019-09-01,38,5,0,ar_core_5,5
2,2021-03-01,elastic_net_full_23,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.8328793835280014,12,2019-10-01,2020-09-01,50,5,0,full_23,23
2,2021-03-01,elastic_net_full_23,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.8186648700066547,12,2019-10-01,2020-09-01,50,5,0,full_23,23
2,2021-03-01,elastic_net_full_23,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.7843934992719953,12,2019-10-01,2020-09-01,50,5,0,full_23,23
2,2021-03-01,elastic_net_full_23,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.731536523672854,12,2019-10-01,2020-09-01,50,5,0,full_23,23
2,2021-03-01,elastic_net_full_23,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.7807781307879567,12,2019-10-01,2020-09-01,50,5,0,full_23,23
2,2021-03-01,elastic_net_full_23,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.8059160229815149,12,2019-10-01,2020-09-01,50,5,0,full_23,23
2,2021-03-01,elastic_net_full_23,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.8389780797333507,12,2019-10-01,2020-09-01,50,5,0,full_23,23
2,2021-03-01,elastic_net_full_23,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.8400178093565128,12,2019-10-01,2020-09-01,50,5,0,full_23,23
2,2021-03-01,elastic_net_full_23,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,1,full_23,23
2,2021-03-01,elastic_net_full_23,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.807047229134482,12,2019-10-01,2020-09-01,50,5,0,full_23,23
2,2021-03-01,elastic_net_full_23,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,0,full_23,23
2,2021-03-01,elastic_net_full_23,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.7227265442519127,12,2019-10-01,2020-09-01,50,5,0,full_23,23
2,2021-03-01,elastic_net_core_10,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",1.1128463107354996,12,2019-10-01,2020-09-01,50,5,0,core_10,10
2,2021-03-01,elastic_net_core_10,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",1.1176949110098255,12,2019-10-01,2020-09-01,50,5,0,core_10,10
2,2021-03-01,elastic_net_core_10,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",1.122147814209232,12,2019-10-01,2020-09-01,50,5,0,core_10,10
2,2021-03-01,elastic_net_core_10,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",1.1137239499482352,12,2019-10-01,2020-09-01,50,5,0,core_10,10
2,2021-03-01,elastic_net_core_10,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",1.1421821871008244,12,2019-10-01,2020-09-01,50,5,0,core_10,10
2,2021-03-01,elastic_net_core_10,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",1.1501147718263662,12,2019-10-01,2020-09-01,50,5,0,core_10,10
