regime_dimension,regime,model,n,events,prevalence,average_precision,roc_auc,brier_score,mean_probability,calibration_bias,precision,recall,specificity,f1,balanced_accuracy,alert_rate,true_positives,false_positives,true_negatives,false_negatives,brier_improvement_vs_prevalence_pct
pandemic_period,pandemic,historical_prevalence,12,0,0.0,,,0.0410316530224296,0.20250699196665078,0.20250699196665078,0.0,0.0,1.0,0.0,0.5,0.0,0,0,12,0,0.0
pandemic_period,pandemic,logistic_regression,12,0,0.0,,,0.1665480609310127,0.16660776206815966,0.16660776206815966,0.0,0.0,0.8333333333333334,0.0,0.4166666666666667,0.16666666666666666,0,2,10,0,-305.9014167427538
pandemic_period,pandemic,random_forest,12,0,0.0,,,0.34229863909315056,0.5358971073318722,0.5358971073318722,0.0,0.0,0.0,0.0,0.0,1.0,0,12,0,0,-734.2306826050511
pandemic_period,pandemic,xgboost,12,0,0.0,,,0.4123001605355294,0.5423079133033752,0.5423079133033752,0.0,0.0,0.4166666666666667,0.0,0.20833333333333334,0.5833333333333334,0,7,5,0,-904.8343904403487
pandemic_period,non_pandemic,historical_prevalence,34,16,0.47058823529411764,0.4669076308989989,0.4548611111111111,0.32132387688979785,0.20260657990119826,-0.2679816553929194,0.0,0.0,1.0,0.0,0.5,0.0,0,0,18,16,0.0
pandemic_period,non_pandemic,logistic_regression,34,16,0.47058823529411764,0.805136549742528,0.7430555555555556,0.3158482028647797,0.3812263155244231,-0.08936191976969454,0.6923076923076923,0.5625,0.7777777777777778,0.6206896551724138,0.6701388888888888,0.38235294117647056,9,4,14,7,1.704098082600968
pandemic_period,non_pandemic,random_forest,34,16,0.47058823529411764,0.6725963879056911,0.7430555555555556,0.22306323554264954,0.47471251396825237,0.004124278674134729,0.5925925925925926,1.0,0.3888888888888889,0.7441860465116279,0.6944444444444444,0.7941176470588235,16,11,7,0,30.57993769347183
pandemic_period,non_pandemic,xgboost,34,16,0.47058823529411764,0.7272901608195725,0.7430555555555556,0.2588036007266215,0.4231817570569761,-0.04740647823714156,0.6666666666666666,0.75,0.6666666666666666,0.7058823529411765,0.7083333333333333,0.5294117647058824,12,6,12,4,19.457090076321492
inflation_regime,high_inflation,historical_prevalence,22,14,0.6363636363636364,0.7440012368583797,0.5267857142857143,0.41981525790032703,0.20225852894383697,-0.43410510741979935,0.0,0.0,1.0,0.0,0.5,0.0,0,0,8,14,0.0
inflation_regime,high_inflation,logistic_regression,22,14,0.6363636363636364,0.8613827588451648,0.6607142857142857,0.3972206289829821,0.5891661046416543,-0.047197531721982044,0.6923076923076923,0.6428571428571429,0.5,0.6666666666666666,0.5714285714285714,0.5909090909090909,9,4,4,5,5.3820409077912466
inflation_regime,high_inflation,random_forest,22,14,0.6363636363636364,0.6873418064318108,0.5446428571428571,0.27857634992994834,0.6043223644033276,-0.032041271960308704,0.6666666666666666,1.0,0.125,0.8,0.5625,0.9545454545454546,14,7,1,0,33.64310975184036
inflation_regime,high_inflation,xgboost,22,14,0.6363636363636364,0.7383253467010653,0.49107142857142855,0.34639878773237487,0.6075932684947144,-0.028770367868921953,0.6470588235294118,0.7857142857142857,0.25,0.7096774193548386,0.5178571428571428,0.7727272727272727,11,6,2,3,17.487804167751992
inflation_regime,lower_inflation,historical_prevalence,24,2,0.08333333333333333,0.10555555555555556,0.4090909090909091,0.09089399902979532,0.20287583264483902,0.11954249931150569,0.0,0.0,1.0,0.0,0.5,0.0,0,0,22,2,0.0
inflation_regime,lower_inflation,logistic_regression,24,2,0.08333333333333333,0.20833333333333331,0.7045454545454546,0.166606741289544,0.08330556543882937,-2.7767894503955004e-05,0.0,0.0,0.9090909090909091,0.0,0.45454545454545453,0.08333333333333333,0,2,20,2,-83.2978448169387
inflation_regime,lower_inflation,random_forest,24,2,0.08333333333333333,0.13392857142857142,0.5681818181818182,0.23179391579620948,0.3864957810845766,0.3031624477512433,0.1111111111111111,1.0,0.2727272727272727,0.19999999999999998,0.6363636363636364,0.75,2,16,6,0,-155.01564269410872
inflation_regime,lower_inflation,xgboost,24,2,0.08333333333333333,0.13392857142857142,0.5681818181818182,0.25525629254246823,0.3137009496955822,0.2303676163622489,0.125,0.5,0.6818181818181818,0.2,0.5909090909090908,0.3333333333333333,1,7,15,1,-180.82854233181496
policy_rate_regime,high_policy_rate,historical_prevalence,23,11,0.4782608695652174,0.5942757090354344,0.48484848484848486,0.32594581271462725,0.20226210319857005,-0.27599876636664733,0.0,0.0,1.0,0.0,0.5,0.0,0,0,12,11,0.0
policy_rate_regime,high_policy_rate,logistic_regression,23,11,0.4782608695652174,0.925,0.8863636363636364,0.24951509200121533,0.5635517660221402,0.08529089645692278,0.6923076923076923,0.8181818181818182,0.6666666666666666,0.7500000000000001,0.7424242424242424,0.5652173913043478,9,4,8,2,23.44890399936774
policy_rate_regime,high_policy_rate,random_forest,23,11,0.4782608695652174,0.6976854250918422,0.7727272727272727,0.22051210526896398,0.5938770786323058,0.11561620906708836,0.5238095238095238,1.0,0.16666666666666666,0.6875000000000001,0.5833333333333334,0.9130434782608695,11,10,2,0,32.34700472681722
policy_rate_regime,high_policy_rate,xgboost,23,11,0.4782608695652174,0.7681422410032036,0.7424242424242424,0.2354550345013366,0.5750589647694774,0.09679809520425997,0.6470588235294118,1.0,0.5,0.7857142857142858,0.75,0.7391304347826086,11,6,6,0,27.76252207679604
