fold_id,model,n,events,prevalence,average_precision,roc_auc,brier_score,mean_probability,calibration_bias,precision,recall,specificity,f1,balanced_accuracy,alert_rate,true_positives,false_positives,true_negatives,false_negatives,average_decision_threshold,minimum_stress_cutoff_pp,maximum_stress_cutoff_pp,brier_improvement_vs_prevalence_pct
1,historical_prevalence,12,0,0.0,,,0.0410316530224296,0.20250699196665078,0.20250699196665078,0.0,0.0,1.0,0.0,0.5,0.0,0,0,12,0,0.5,0.1735303353089421,0.206475900657982,0.0
1,logistic_regression,12,0,0.0,,,0.1665480609310127,0.16660776206815966,0.16660776206815966,0.0,0.0,0.8333333333333334,0.0,0.4166666666666667,0.16666666666666666,0,2,10,0,0.20000000000000004,0.1735303353089421,0.206475900657982,-305.9014167427538
1,random_forest,12,0,0.0,,,0.34229863909315056,0.5358971073318722,0.5358971073318722,0.0,0.0,0.0,0.0,0.0,1.0,0,12,0,0,0.20000000000000004,0.1735303353089421,0.206475900657982,-734.2306826050511
1,xgboost,12,0,0.0,,,0.4123001605355294,0.5423079133033752,0.5423079133033752,0.0,0.0,0.4166666666666667,0.0,0.20833333333333334,0.5833333333333334,0,7,5,0,0.3,0.1735303353089421,0.206475900657982,-904.8343904403487
2,historical_prevalence,12,6,0.5,0.4631313131313131,0.4027777777777778,0.33833994100828413,0.20347696235015297,-0.296523037649847,0.0,0.0,1.0,0.0,0.5,0.0,0,0,6,6,0.5,0.1694205504926799,0.1949375057006062,0.0
2,logistic_regression,12,6,0.5,1.0,1.0,0.4992461940846868,0.0003777576116151307,-0.4996222423883849,0.0,0.0,1.0,0.0,0.5,0.0,0,0,6,6,0.20000000000000004,0.1694205504926799,0.1949375057006062,-47.557569643385065
2,random_forest,12,6,0.5,1.0,1.0,0.24388685573263014,0.23645116998948223,-0.26354883001051777,0.8571428571428571,1.0,0.8333333333333334,0.923076923076923,0.9166666666666667,0.5833333333333334,6,1,5,0,0.20000000000000004,0.1694205504926799,0.1949375057006062,27.916622848066684
2,xgboost,12,6,0.5,1.0,1.0,0.3295970665190552,0.11716452070201437,-0.3828354792979856,1.0,0.3333333333333333,1.0,0.5,0.6666666666666666,0.16666666666666666,2,0,6,4,0.20000000000000004,0.1694205504926799,0.1949375057006062,2.584050367560619
3,historical_prevalence,12,9,0.75,0.8345117845117845,0.5185185185185185,0.48768745228156124,0.2021619523593957,-0.5478380476406043,0.0,0.0,1.0,0.0,0.5,0.0,0,0,3,9,0.5,0.17748074421410415,0.2561680836650684,0.0
3,logistic_regression,12,9,0.75,1.0,1.0,0.24999359846774438,0.99999679916567,0.24999679916566997,0.75,1.0,0.0,0.8571428571428571,0.5,1.0,9,3,0,0,0.20000000000000004,0.17748074421410415,0.2561680836650684,48.73897261490066
3,random_forest,12,9,0.75,0.7316017316017316,0.4444444444444444,0.1922003560498562,0.7527176577036738,0.002717657703673826,0.75,1.0,0.0,0.8571428571428571,0.5,1.0,9,3,0,0,0.3,0.17748074421410415,0.2561680836650684,60.58943998852541
3,xgboost,12,9,0.75,0.8530303030303031,0.5185185185185185,0.2218321684598609,0.8165795107682546,0.06657951076825463,0.75,1.0,0.0,0.8571428571428571,0.5,1.0,9,3,0,0,0.20000000000000004,0.17748074421410415,0.2561680836650684,54.51345581641325
4,historical_prevalence,10,1,0.1,0.1111111111111111,0.1111111111111111,0.10126830947749824,0.20209567401261572,0.10209567401261571,0.0,0.0,1.0,0.0,0.5,0.0,0,0,9,1,0.5,0.27022126064922025,0.2921280827948801,0.0
4,logistic_regression,10,1,0.1,0.14285714285714285,0.3333333333333333,0.17479613867733373,0.09572000465029633,-0.0042799953497036775,0.0,0.0,0.8888888888888888,0.0,0.4444444444444444,0.1,0,1,8,1,0.2,0.27022126064922025,0.2921280827948801,-72.6069483920568
4,random_forest,10,1,0.1,0.25,0.6666666666666666,0.23511034670602485,0.42701995426027073,0.32701995426027075,0.125,1.0,0.2222222222222222,0.2222222222222222,0.6111111111111112,0.8,1,7,2,0,0.3,0.27022126064922025,0.2921280827948801,-132.16576628867912
4,xgboost,10,1,0.1,0.25,0.6666666666666666,0.21821716049581377,0.31832513622939584,0.21832513622939584,0.25,1.0,0.6666666666666666,0.4,0.8333333333333333,0.4,1,3,6,0,0.2,0.27022126064922025,0.2921280827948801,-115.48415454126003
all,historical_prevalence,46,16,0.34782608695652173,0.33912879243291705,0.475,0.24820416631570177,0.20258060044001197,-0.14524548651650976,0.0,0.0,1.0,0.0,0.5,0.0,0,0,30,16,0.5,0.1694205504926799,0.2921280827948801,0.0
all,logistic_regression,46,16,0.34782608695652173,0.7713822795142726,0.7875,0.2769003397516231,0.3252388667967022,-0.02258722015981951,0.6,0.5625,0.8,0.5806451612903225,0.68125,0.32608695652173914,9,6,24,7,0.2,0.1694205504926799,0.2921280827948801,-11.561519640013374
all,random_forest,46,16,0.34782608695652173,0.4656925764828407,0.6729166666666667,0.2541681234253889,0.4906737122370228,0.14284762528050104,0.41025641025641024,1.0,0.23333333333333334,0.5818181818181819,0.6166666666666667,0.8478260869565217,16,23,7,0,0.24782608695652175,0.1694205504926799,0.2921280827948801,-2.4028432714144374
all,xgboost,46,16,0.34782608695652173,0.4599248489119862,0.6416666666666667,0.2988461815463366,0.4542581456429932,0.10643205868647149,0.48,0.75,0.5666666666666667,0.5853658536585366,0.6583333333333333,0.5434782608695652,12,13,17,4,0.22608695652173913,0.1694205504926799,0.2921280827948801,-20.40337033110919
