observation_date,forecast_issue_date,target_date_h6,critical_reason,actual_change_pp_h6,zero_prediction,zero_absolute_error,elastic_net_prediction,elastic_net_absolute_error,xgboost_prediction,xgboost_absolute_error,random_forest_prediction,random_forest_absolute_error,elastic_net_positive_drivers,elastic_net_negative_drivers,xgboost_positive_drivers,xgboost_negative_drivers,npl90_level_t,imacec_yoy_pct,ipc_yoy,unemployment_rate,tpm_change_3m_pp,usdclp_yoy_pct,real_consumer_loans_yoy_pct,evaluated_split
2020-04-01,2020-05-28,2020-10-01,largest_actual_change|largest_elastic_error,-1.09601921657932,0.0,1.09601921657932,0.0475065739699659,1.143525790549286,0.1590096354484558,1.255028852027776,0.1368341193495828,1.232853335928903,none_nonzero,none_nonzero,consumer_lending_rate:+0.0671 | unemployment_rate:+0.0602 | npl90_rolling_mean_6m:+0.0345,npl90_level_t:-0.0229 | real_consumer_loans_yoy_pct:-0.0216 | month_sin:-0.0121,2.65014483685801,-4.9273528495774155,3.424472063,8.2285090973616,-1.25,27.86620431810729,-4.492634004707208,development
2020-05-01,2020-06-26,2020-11-01,largest_actual_change|largest_elastic_error,-1.3049315249515,0.0,1.3049315249515,0.051831021492134574,1.3567625464436346,0.20790161192417145,1.5128331368756716,0.09800416680801396,1.4029356917595142,none_nonzero,none_nonzero,consumer_lending_rate:+0.0672 | unemployment_rate:+0.0669 | npl90_rolling_mean_6m:+0.0420,npl90_level_t:-0.0181 | real_consumer_loans_yoy_pct:-0.0168 | month_sin:-0.0140,2.77950657589294,-13.502256004192482,2.751963838,9.0018555844912,-1.25,18.757986005476155,-6.040229868046465,development
2020-06-01,2020-07-30,2020-12-01,largest_actual_change|largest_elastic_error,-1.39740932498328,0.0,1.39740932498328,0.0564450628612245,1.4538543878445045,0.24137155711650848,1.6387808820997884,0.2391458846863278,1.6365552096696079,none_nonzero,none_nonzero,consumer_lending_rate:+0.1121 | npl90_rolling_mean_6m:+0.0509 | unemployment_rate:+0.0404,month_sin:-0.0177 | npl90_level_t:-0.0123 | npl90_lag_12m:-0.0118,2.82762935504168,-15.2290302313551,2.628031381,11.206932833479,-0.8799999999999999,14.631229363829966,-7.856234764003512,development
2020-07-01,2020-08-28,2021-01-01,largest_actual_change|largest_elastic_error,-1.2670887659265202,0.0,1.2670887659265202,0.059355925098238324,1.3264446910247585,0.2544049918651581,1.5214937577916783,0.24324748051021128,1.5103362464367316,none_nonzero,none_nonzero,consumer_lending_rate:+0.1027 | unemployment_rate:+0.0485 | npl90_rolling_mean_6m:+0.0401,npl90_lag_12m:-0.0139 | real_consumer_loans_yoy_pct:-0.0100 | consumer_lending_rate_change_3m_pp:-0.0093,2.67630487419941,-14.501914745709065,2.501811368,12.217859680127,0.0,14.38199150352608,-9.855062846631125,development
2020-08-01,2020-09-29,2021-02-01,largest_actual_change,-0.83722928536067,0.0,0.83722928536067,0.05470109775719552,0.8919303831178655,0.2388545125722885,1.0760837979329585,0.21587352201735588,1.0531028073780258,none_nonzero,none_nonzero,consumer_lending_rate:+0.1093 | month_sin:+0.0265 | npl90_rolling_mean_6m:+0.0237,real_consumer_loans_yoy_pct:-0.0219 | npl90_level_t:-0.0118 | npl90_rolling_mean_12m:-0.0023,2.23744928868022,-12.53729808211932,2.445426635,13.091216396143,0.0,9.942819778885381,-13.105592923655818,development
2021-06-01,2021-07-29,2021-12-01,largest_elastic_error,-0.24373117512585996,0.0,0.24373117512585996,0.7669940570418724,1.0107252321677325,-0.01390144694596529,0.22982972817989467,-0.08236940887766746,0.16136176624819248,imacec_yoy_pct:+0.4935 | npl90_rolling_mean_6m:+0.2886 | npl90_rolling_mean_12m:+0.0513,month_sin:-0.0084,consumer_lending_rate:+0.0405 | npl90_rolling_mean_6m:+0.0346 | npl90_level_t:+0.0231,real_consumer_loans_yoy_pct:-0.0603 | npl90_lag_12m:-0.0454 | month_sin:-0.0242,1.37581559972634,19.032930547929183,3.804306983,10.037301451191,0.0,-8.463155324428461,-14.613063597074316,development
