fold_id,outer_test_start,model,candidate_id,parameters,inner_mae,inner_validation_origins,inner_validation_start,inner_validation_end,minimum_inner_training_rows,maximum_inner_purged_rows,selected,scenario,horizon_months,training_scheme
3,2022-03-01,elastic_net,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.2489450227568689,12,2021-01-01,2021-12-01,68,2,0,h3_expanding,3,expanding
3,2022-03-01,elastic_net,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.22890941475878498,12,2021-01-01,2021-12-01,68,2,0,h3_expanding,3,expanding
3,2022-03-01,elastic_net,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.13176513691357916,12,2021-01-01,2021-12-01,68,2,1,h3_expanding,3,expanding
3,2022-03-01,elastic_net,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.13176513691357916,12,2021-01-01,2021-12-01,68,2,0,h3_expanding,3,expanding
4,2023-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.4423689188112099,12,2022-01-01,2022-12-01,80,2,0,h3_expanding,3,expanding
4,2023-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.429192555664224,12,2022-01-01,2022-12-01,80,2,0,h3_expanding,3,expanding
4,2023-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.4155221884410845,12,2022-01-01,2022-12-01,80,2,0,h3_expanding,3,expanding
4,2023-03-01,elastic_net,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.3159128907985542,12,2022-01-01,2022-12-01,80,2,0,h3_expanding,3,expanding
4,2023-03-01,elastic_net,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.3165144538904853,12,2022-01-01,2022-12-01,80,2,0,h3_expanding,3,expanding
4,2023-03-01,elastic_net,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.3163746327315616,12,2022-01-01,2022-12-01,80,2,0,h3_expanding,3,expanding
4,2023-03-01,elastic_net,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.23677514622127704,12,2022-01-01,2022-12-01,80,2,1,h3_expanding,3,expanding
4,2023-03-01,elastic_net,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.2553957396262513,12,2022-01-01,2022-12-01,80,2,0,h3_expanding,3,expanding
4,2023-03-01,elastic_net,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.2970151058768625,12,2022-01-01,2022-12-01,80,2,0,h3_expanding,3,expanding
